FernParametric__parametric__iter_12.obj,74464,2.549447774887085,75708
FernParametric__parametric__iter_11.obj,26600,3.5272457599639893,57928
FernParametric__parametric__iter_9.obj,2703,3.803501844406128,67095
FernParametric__parametric__iter_8.obj,1319,2.319096088409424,59951
FernParametric__parametric__iter_13.obj,189954,5.261120080947876,151840
Tree__standard__iter_1.obj,5088,2.794985055923462,64969
FernParametric__parametric__iter_10.obj,9883,4.136178970336914,62568
FernParametric__parametric__iter_14.obj,520143,4.822424650192261,257658
Tree__standard__iter_5.obj,1538086,10.690832138061523,577892
FernParametric__parametric__iter_15.obj,1330647,5.995779752731323,557737
Tree__standard__iter_4.obj,397233,6.491889238357544,172530
SimpleTree__parametric__iter_8.obj,25199887,27.784810066223145,15139053
Tree__standard__iter_6.obj,6129166,18.960711002349854,2135113
FernParametric__parametric__iter_17.obj,9206974,18.219905138015747,3713957
FernParametric__parametric__iter_16.obj,3586841,10.355947971343994,1444178
StochasticTree__stochastic__iter_6.obj,3305826,29.098437070846558,1300974
SimpleTree__parametric__iter_3.obj,19614,3.089548110961914,60575
SimpleTree__parametric__iter_2.obj,4476,2.959228992462158,65260
Tree__standard__iter_7.obj,24934953,40.64628505706787,7973957
StochasticTree__stochastic__iter_5.obj,792356,15.148862838745117,346241
SimpleTree__parametric__iter_9.obj,103013577,136.78986287117004,63112012
StochasticTree__stochastic__iter_7.obj,13475036,68.13610315322876,5117032
SimpleTree__parametric__iter_1.obj,839,3.2068819999694824,70564
FernParametric__parametric__iter_18.obj,24705671,46.68127489089966,9438710
StochasticTree__stochastic__iter_4.obj,196681,8.959554195404053,119353
Tree__standard__iter_8.obj,100244814,169.61614298820496,31761642
StochasticTree__stochastic__iter_8.obj,56292013,314.29538679122925,20915125
StochasticTree__stochastic__iter_0.obj,883,3.0460240840911865,70070
SimpleTree__parametric__iter_4.obj,81361,3.9875922203063965,66958
SimpleTree__parametric__iter_5.obj,346485,7.1360180377960205,219496
StochasticTree__stochastic__iter_1.obj,2336,3.1045260429382324,62997
StochasticTree__stochastic__iter_3.obj,46275,5.592717885971069,58862
SimpleTree__parametric__iter_6.obj,1449014,11.479491949081421,896558
SimpleTree__parametric__iter_7.obj,6008124,18.924705028533936,3696903
StochasticTree__stochastic__iter_2.obj,10589,3.692939043045044,61789
Tree__standard__iter_9.obj,418675796,763.8774261474609,125309618
StochasticTree__stochastic__iter_9.obj,233806386,1046.941890001297,84252906
