frame,dt_ms
0,58.021
1,0.984
2,12.024
3,17.100
4,16.805
5,18.266
6,15.211
7,17.346
8,15.654
9,18.366
10,14.821
11,18.313
12,14.911
13,21.793
14,11.657
15,20.138
16,13.099
17,21.142
18,12.284
19,21.566
20,11.606
21,21.820
22,11.505
23,21.982
24,11.203
25,16.586
26,16.735
27,16.642
28,16.703
29,16.622
30,33.356
31,16.672
32,16.518
33,16.810
34,16.555
35,16.757
36,17.679
37,17.188
38,16.126
39,16.075
40,17.256
41,17.021
42,15.807
43,17.275
44,15.865
45,17.245
46,16.238
47,17.216
48,15.884
49,17.933
50,15.680
51,16.805
52,16.175
53,17.386
54,15.907
55,20.589
56,12.991
57,17.003
58,16.181
59,18.726
60,14.504
61,16.259
62,16.538
63,19.389
64,14.266
65,19.246
66,13.829
67,18.596
68,14.605
69,19.997
70,13.862
71,19.409
72,13.021
73,20.664
74,12.858
75,20.743
76,12.279
77,21.383
78,11.912
79,21.179
80,12.297
81,16.539
82,17.239
83,16.058
84,17.461
85,15.834
86,17.570
87,15.790
88,17.071
89,16.103
90,16.065
91,17.450
92,16.034
93,18.034
94,15.155
95,17.116
96,16.008
97,17.596
98,15.685
99,17.562
100,16.908
101,16.080
102,17.152
103,15.863
104,17.196
105,16.285
106,17.030
107,16.333
108,17.149
109,16.027
110,17.045
111,15.840
112,17.235
113,16.384
114,17.156
115,16.113
116,19.288
117,13.876
118,17.235
119,16.043
120,18.719
121,14.570
122,18.810
123,14.477
124,19.208
125,14.167
126,19.856
127,13.471
128,20.669
129,12.498
130,21.042
131,12.365
132,21.508
133,11.651
134,20.929
135,12.192
136,16.741
137,16.601
138,16.481
139,16.119
140,17.502
141,15.919
142,17.707
143,16.779
144,16.057
145,17.138
146,16.123
147,17.175
148,16.129
149,17.128
150,15.930
151,17.290
152,16.047
153,17.412
154,15.767
155,17.187
156,15.936
157,18.757
158,14.757
159,17.223
160,15.897
161,21.297
162,11.957
163,19.833
164,13.582
165,20.565
166,13.214
167,19.937
168,12.765
169,20.558
170,13.452
171,20.136
172,12.373
173,21.330
174,12.117
175,21.227
176,12.343
177,16.213
178,17.170
179,16.162
180,16.112
181,17.143
182,16.042
183,16.615
184,18.457
185,15.415
186,17.203
187,16.466
188,16.825
189,15.935
190,17.265
191,16.748
192,16.119
193,16.341
194,17.332
195,15.836
196,17.362
197,15.913
198,18.409
199,14.870
200,17.339
201,16.100
202,21.109
203,12.232
204,16.885
205,16.552
206,19.001
207,13.852
208,16.292
209,16.931
210,17.387
211,15.980
212,19.082
213,14.053
214,17.990
215,15.518
216,17.747
217,15.313
218,18.764
219,14.523
220,19.976
221,13.429
222,19.749
223,13.532
224,20.731
225,12.766
226,20.328
227,12.990
228,20.275
229,13.010
230,20.086
231,13.236
232,20.138
233,13.106
234,16.138
235,16.302
236,17.237
237,17.164
238,16.056
239,17.361
240,15.703
241,17.278
242,15.780
243,17.419
244,15.757
245,17.657
246,15.873
247,17.377
248,15.692
249,17.480
250,15.989
251,17.205
252,16.087
253,17.927
254,15.234
255,16.500
256,16.519
257,17.320
258,15.817
259,17.355
260,16.370
261,17.137
262,16.038
263,16.910
264,16.367
265,19.266
266,13.982
267,21.724
268,11.641
269,20.041
270,13.607
271,20.626
272,12.442
273,20.559
274,13.091
275,20.264
276,12.620
277,20.916
278,12.492
279,16.274
280,17.243
281,16.171
282,17.205
283,15.952
284,16.113
285,17.555
286,15.635
287,17.639
288,15.567
289,17.708
290,15.650
291,17.334
292,17.485
293,15.804
294,17.809
295,15.587
296,16.760
297,16.095
298,17.110
299,16.531
