frame,dt_ms,fps
0,66.093,15.1
1,0.754,1326.0
2,11.214,89.2
3,8.468,118.1
4,8.708,114.8
5,3.224,310.1
6,13.203,75.7
7,2.588,386.4
8,17.557,57.0
9,12.989,77.0
10,8.265,121.0
11,11.822,84.6
12,13.252,75.5
13,8.286,120.7
14,12.404,80.6
15,12.737,78.5
16,2.800,357.2
17,16.515,60.6
18,2.304,434.1
19,11.508,86.9
20,9.346,107.0
21,15.809,63.3
22,2.959,337.9
23,13.641,73.3
24,8.372,119.4
25,2.544,393.1
26,16.825,59.4
27,13.755,72.7
28,29.505,33.9
29,3.949,253.2
30,28.852,34.7
31,4.340,230.4
32,80.230,12.5
33,1.044,957.5
34,2.716,368.2
35,0.512,1953.6
36,0.456,2192.4
37,0.456,2194.6
38,0.391,2556.7
39,0.442,2261.2
40,0.408,2450.5
41,0.344,2907.3
42,0.402,2484.7
43,0.435,2298.4
44,40.764,24.5
45,8.917,112.1
46,8.309,120.4
47,8.318,120.2
48,112.575,8.9
49,1.333,750.3
50,0.424,2357.3
51,0.422,2371.5
52,0.410,2438.8
53,0.463,2159.6
54,0.466,2145.5
55,0.491,2038.2
56,0.508,1969.0
57,8.250,121.2
58,13.148,76.1
59,11.429,87.5
60,8.356,119.7
61,13.280,75.3
62,11.794,84.8
63,4.823,207.4
64,14.892,67.1
65,5.282,189.3
66,7.051,141.8
67,9.486,105.4
68,11.416,87.6
69,7.401,135.1
70,6.286,159.1
71,5.979,167.2
72,13.795,72.5
73,7.046,141.9
74,6.355,157.4
75,16.681,59.9
76,9.730,102.8
77,6.895,145.0
78,16.690,59.9
79,12.133,82.4
80,4.452,224.6
81,16.750,59.7
82,9.970,100.3
83,6.638,150.6
84,5.297,188.8
85,11.284,88.6
86,9.774,102.3
87,6.943,144.0
88,16.711,59.8
89,8.315,120.3
90,3.713,269.3
91,12.840,77.9
92,8.421,118.8
93,8.259,121.1
94,16.696,59.9
95,16.727,59.8
96,8.316,120.2
97,3.617,276.5
98,12.906,77.5
99,8.440,118.5
100,3.539,282.6
101,12.975,77.1
102,8.343,119.9
103,16.805,59.5
104,16.511,60.6
105,12.791,78.2
106,12.268,81.5
107,8.294,120.6
108,16.673,60.0
109,16.659,60.0
110,11.786,84.8
111,13.142,76.1
112,8.256,121.1
113,16.752,59.7
114,16.708,59.9
115,12.450,80.3
116,12.441,80.4
117,8.320,120.2
118,16.839,59.4
119,18.162,55.1
120,11.399,87.7
121,11.907,84.0
122,8.292,120.6
123,16.701,59.9
124,30.314,33.0
125,11.282,88.6
126,12.527,79.8
127,15.211,65.7
128,9.871,101.3
129,8.254,121.2
130,16.704,59.9
131,16.665,60.0
132,14.042,71.2
133,10.922,91.6
134,8.281,120.8
135,16.729,59.8
136,16.650,60.1
137,8.263,121.0
138,16.681,59.9
139,16.746,59.7
140,8.204,121.9
141,16.710,59.8
142,16.624,60.2
143,8.317,120.2
144,16.700,59.9
145,16.597,60.3
146,8.324,120.1
147,25.113,39.8
148,8.074,123.9
149,16.725,59.8
150,16.592,60.3
151,8.346,119.8
152,16.690,59.9
153,16.675,60.0
154,10.274,97.3
155,14.708,68.0
156,8.294,120.6
157,16.838,59.4
158,16.559,60.4
159,11.479,87.1
160,13.474,74.2
161,8.319,120.2
162,16.806,59.5
163,16.532,60.5
164,14.148,70.7
165,10.822,92.4
166,8.332,120.0
167,16.786,59.6
168,17.232,58.0
169,16.718,59.8
170,8.076,123.8
171,1.502,665.7
172,15.303,65.3
173,8.673,115.3
174,16.326,61.3
175,8.198,122.0
176,17.841,56.1
177,14.713,68.0
178,8.243,121.3
179,16.865,59.3
180,16.402,61.0
181,8.279,120.8
182,17.758,56.3
183,17.232,58.0
184,7.610,131.4
185,16.389,61.0
186,8.433,118.6
187,1.686,593.1
188,15.347,65.2
189,7.690,130.0
190,2.034,491.6
191,15.029,66.5
192,7.788,128.4
193,1.741,574.4
194,15.942,62.7
195,7.613,131.4
196,18.336,54.5
197,6.162,162.3
198,2.397,417.2
199,14.810,67.5
summary,11.843,84.4
cpu_time,0.165,
peak_rss_kb,44957696,
vertex_count,5399,,
