frame,dt_ms,fps
0,42.067,23.8
1,1.173,852.5
2,11.342,88.2
3,8.907,112.3
4,9.318,107.3
5,17.083,58.5
6,6.432,155.5
7,2.787,358.9
8,13.769,72.6
9,10.384,96.3
10,6.218,160.8
11,16.703,59.9
12,16.861,59.3
13,2.588,386.4
14,13.932,71.8
15,11.656,85.8
16,13.372,74.8
17,8.308,120.4
18,3.347,298.8
19,13.149,76.1
20,8.309,120.4
21,8.573,116.6
22,21.214,47.1
23,1.721,581.0
24,2.062,485.0
25,10.892,91.8
26,5.625,177.8
27,22.590,44.3
28,12.971,77.1
29,10.086,99.1
30,13.488,74.1
31,11.522,86.8
32,8.254,121.1
33,17.003,58.8
34,16.438,60.8
35,8.264,121.0
36,16.892,59.2
37,16.554,60.4
38,8.338,119.9
39,16.648,60.1
40,16.656,60.0
41,8.222,121.6
42,16.766,59.6
43,16.731,59.8
44,8.304,120.4
45,16.697,59.9
46,16.767,59.6
47,7.997,125.0
48,16.823,59.4
49,16.572,60.3
50,8.323,120.2
51,16.732,59.8
52,16.844,59.4
53,8.022,124.7
54,16.753,59.7
55,16.828,59.4
56,8.057,124.1
57,17.782,56.2
58,16.340,61.2
59,8.179,122.3
60,1.855,539.2
61,14.570,68.6
62,8.390,119.2
63,4.713,212.2
64,13.199,75.8
65,7.007,142.7
66,2.901,344.7
67,13.950,71.7
68,12.071,82.8
69,12.921,77.4
70,8.425,118.7
71,16.669,60.0
72,8.045,124.3
73,2.332,428.8
74,17.274,57.9
75,5.332,187.6
76,2.653,376.9
77,14.227,70.3
78,14.506,68.9
79,10.480,95.4
80,8.193,122.1
81,2.318,431.4
82,14.539,68.8
83,8.067,124.0
84,3.524,283.8
85,13.208,75.7
86,12.465,80.2
87,12.709,78.7
88,8.034,124.5
89,2.704,369.8
90,13.593,73.6
91,8.003,125.0
92,19.382,51.6
93,15.012,66.6
94,7.827,127.8
95,2.830,353.3
96,14.669,68.2
97,6.800,147.1
98,3.348,298.7
99,17.153,58.3
100,4.368,229.0
101,5.744,174.1
102,10.997,90.9
103,16.247,61.5
104,8.598,116.3
105,21.189,47.2
106,12.162,82.2
107,8.191,122.1
108,16.800,59.5
109,16.666,60.0
110,22.777,43.9
111,2.054,486.7
112,19.428,51.5
113,13.988,71.5
114,8.224,121.6
115,16.888,59.2
116,16.505,60.6
117,8.920,112.1
118,16.843,59.4
119,7.898,126.6
120,1.746,572.9
121,15.358,65.1
122,7.828,127.8
123,2.199,454.7
124,15.029,66.5
125,7.572,132.1
126,1.839,543.7
127,15.589,64.1
128,8.017,124.7
129,17.787,56.2
130,7.142,140.0
131,17.250,58.0
132,7.800,128.2
133,1.918,521.4
134,15.108,66.2
135,7.857,127.3
136,1.987,503.4
137,15.183,65.9
138,7.691,130.0
139,17.561,56.9
140,7.557,132.3
141,16.561,60.4
142,8.177,122.3
143,2.238,446.9
144,15.027,66.5
145,7.522,132.9
146,2.042,489.7
147,15.277,65.5
148,7.828,127.7
149,17.368,57.6
150,7.542,132.6
151,17.005,58.8
152,8.065,124.0
153,2.416,413.9
154,13.444,74.4
155,11.418,87.6
156,13.432,74.4
157,8.306,120.4
158,18.323,54.6
159,19.913,50.2
160,7.912,126.4
161,13.234,75.6
162,7.934,126.0
163,17.610,56.8
164,7.280,137.4
165,1.516,659.8
166,15.818,63.2
167,7.947,125.8
168,1.832,546.0
169,15.373,65.0
170,7.539,132.6
171,6.258,159.8
172,9.375,106.7
173,8.300,120.5
174,17.000,58.8
175,17.645,56.7
176,8.165,122.5
177,16.622,60.2
178,8.010,124.8
179,1.658,603.0
180,15.421,64.8
181,7.684,130.1
182,1.955,511.4
183,14.767,67.7
184,8.167,122.5
185,2.498,400.3
186,14.375,69.6
187,8.193,122.1
188,1.538,650.1
189,15.665,63.8
190,7.331,136.4
191,2.254,443.6
192,14.852,67.3
193,8.365,119.6
194,2.179,459.0
195,14.253,70.2
196,13.745,72.8
197,10.552,94.8
198,9.317,107.3
199,17.048,58.7
summary,10.909,91.7
cpu_time,0.248,
peak_rss_kb,49774592,
vertex_count,150800,
