frame,dt_ms,fps
0,42.570,23.5
1,1.052,950.3
2,3.442,290.6
3,15.616,64.0
4,8.741,114.4
5,2.897,345.2
6,13.331,75.0
7,8.257,121.1
8,8.330,120.0
9,8.315,120.3
10,17.442,57.3
11,1.745,572.9
12,14.281,70.0
13,8.211,121.8
14,13.092,76.4
15,12.192,82.0
16,1.882,531.4
17,23.243,43.0
18,16.189,61.8
19,8.403,119.0
20,14.807,67.5
21,1.775,563.3
22,20.375,49.1
23,33.130,30.2
24,4.822,207.4
25,16.873,59.3
26,12.276,81.5
27,8.254,121.1
28,16.825,59.4
29,16.727,59.8
30,8.096,123.5
31,17.209,58.1
32,16.176,61.8
33,8.299,120.5
34,16.895,59.2
35,16.535,60.5
36,12.891,77.6
37,12.036,83.1
38,8.228,121.5
39,16.882,59.2
40,16.563,60.4
41,13.478,74.2
42,11.779,84.9
43,7.951,125.8
44,17.016,58.8
45,16.461,60.7
46,10.693,93.5
47,2.683,372.8
48,11.586,86.3
49,8.233,121.5
50,16.914,59.1
51,16.416,60.9
52,8.338,119.9
53,16.907,59.1
54,16.413,60.9
55,8.372,119.5
56,17.476,57.2
57,16.495,60.6
58,7.780,128.5
59,2.532,394.9
60,14.951,66.9
61,7.897,126.6
62,2.594,385.6
63,14.213,70.4
64,16.757,59.7
65,7.789,128.4
66,2.595,385.4
67,14.324,69.8
68,11.241,89.0
69,13.412,74.6
70,8.351,119.7
71,2.889,346.2
72,14.193,70.5
73,8.025,124.6
74,2.437,410.4
75,15.748,63.5
76,6.638,150.6
77,2.839,352.2
78,14.145,70.7
79,12.167,82.2
80,12.708,78.7
81,8.159,122.6
82,2.346,426.3
83,14.843,67.4
84,7.848,127.4
85,2.303,434.2
86,19.174,52.2
87,2.939,340.3
88,17.784,56.2
89,17.479,57.2
90,7.169,139.5
91,3.279,304.9
92,13.449,74.4
93,13.047,76.6
94,12.023,83.2
95,8.168,122.4
96,17.075,58.6
97,7.826,127.8
98,2.445,408.9
99,17.956,55.7
100,3.817,262.0
101,3.497,286.0
102,14.117,70.8
103,13.551,73.8
104,11.358,88.0
105,8.089,123.6
106,17.368,57.6
107,7.481,133.7
108,2.694,371.1
109,16.821,59.4
110,4.998,200.1
111,7.284,137.3
112,9.058,110.4
113,17.972,55.6
114,6.941,144.1
115,18.524,54.0
116,15.361,65.1
117,8.246,121.3
118,1.222,818.4
119,17.606,56.8
120,5.505,181.6
121,16.774,59.6
122,17.367,57.6
123,8.267,121.0
124,17.433,57.4
125,6.943,144.0
126,17.846,56.0
127,16.985,58.9
128,7.499,133.3
129,16.329,61.2
130,8.569,116.7
131,1.638,610.4
132,15.176,65.9
133,7.875,127.0
134,1.627,614.6
135,15.470,64.6
136,7.818,127.9
137,1.456,686.7
138,16.196,61.7
139,7.418,134.8
140,16.809,59.5
141,8.189,122.1
142,2.173,460.3
143,14.556,68.7
144,8.552,116.9
145,16.615,60.2
146,8.034,124.5
147,17.619,56.8
148,7.016,142.5
149,1.778,562.3
150,16.733,59.8
151,6.326,158.1
152,2.402,416.4
153,14.923,67.0
154,11.107,90.0
155,13.736,72.8
156,7.936,126.0
157,1.941,515.1
158,15.793,63.3
159,7.309,136.8
160,8.049,124.2
161,13.639,73.3
162,10.854,92.1
163,8.302,120.5
164,17.820,56.1
165,16.475,60.7
166,12.935,77.3
167,12.122,82.5
168,7.907,126.5
169,1.578,633.7
170,16.208,61.7
171,7.298,137.0
172,1.782,561.3
173,14.839,67.4
174,8.238,121.4
175,2.397,417.1
176,14.325,69.8
177,8.189,122.1
178,17.277,57.9
179,7.363,135.8
180,1.862,537.2
181,15.257,65.5
182,10.455,95.7
183,14.669,68.2
184,8.151,122.7
185,17.302,57.8
186,7.362,135.8
187,1.806,553.6
188,15.370,65.1
189,7.474,133.8
190,1.834,545.3
191,15.030,66.5
192,7.891,126.7
193,2.499,400.1
194,14.390,69.5
195,8.406,119.0
196,1.737,575.8
197,14.731,67.9
198,8.277,120.8
199,1.303,767.2
summary,10.784,92.7
cpu_time,0.248,
peak_rss_kb,50397184,
vertex_count,74500,
