frame,dt_ms,fps
0,60.422,16.6
1,1.005,995.4
2,11.373,87.9
3,8.278,120.8
4,8.786,113.8
5,2.473,404.4
6,13.746,72.7
7,8.208,121.8
8,9.230,108.3
9,0.938,1065.6
10,17.708,56.5
11,13.783,72.6
12,8.373,119.4
13,12.127,82.5
14,12.861,77.8
15,8.936,111.9
16,1.833,545.4
17,14.441,69.2
18,2.380,420.2
19,14.054,71.2
20,14.602,68.5
21,10.395,96.2
22,8.407,118.9
23,11.144,89.7
24,13.845,72.2
25,8.232,121.5
26,19.556,51.1
27,13.973,71.6
28,7.212,138.7
29,64.513,15.5
30,113.696,8.8
31,1.331,751.6
32,0.707,1414.3
33,0.706,1416.0
34,0.668,1496.4
35,0.683,1464.8
36,0.677,1477.7
37,0.645,1550.5
38,0.655,1527.0
39,9.094,110.0
40,3.253,307.4
41,16.876,59.3
42,3.402,293.9
43,92.331,10.8
44,1.750,571.5
45,0.673,1484.8
46,0.653,1530.9
47,0.634,1576.0
48,0.678,1474.4
49,8.816,113.4
50,3.245,308.2
51,18.613,53.7
52,6.402,156.2
53,16.837,59.4
54,9.430,106.0
55,7.142,140.0
56,16.647,60.1
57,15.505,64.5
58,9.491,105.4
59,8.358,119.7
60,5.487,182.2
61,14.664,68.2
62,4.810,207.9
63,25.883,38.6
64,7.307,136.8
65,25.002,40.0
66,8.414,118.8
67,8.177,122.3
68,16.887,59.2
69,16.624,60.2
70,8.337,119.9
71,24.946,40.1
72,8.219,121.7
73,16.751,59.7
74,16.651,60.1
75,12.190,82.0
76,12.775,78.3
77,8.246,121.3
78,16.821,59.4
79,16.751,59.7
80,13.181,75.9
81,11.720,85.3
82,8.097,123.5
83,16.977,58.9
84,16.472,60.7
85,13.359,74.9
86,11.652,85.8
87,8.229,121.5
88,17.019,58.8
89,16.527,60.5
90,8.184,122.2
91,16.808,59.5
92,16.490,60.6
93,8.338,119.9
94,16.686,59.9
95,16.728,59.8
96,8.093,123.6
97,17.459,57.3
98,16.508,60.6
99,8.353,119.7
100,1.839,543.8
101,15.104,66.2
102,8.333,120.0
103,3.412,293.1
104,12.888,77.6
105,8.652,115.6
106,5.057,197.8
107,11.329,88.3
108,8.271,120.9
109,1.835,544.9
110,14.640,68.3
111,8.505,117.6
112,9.467,105.6
113,6.617,151.1
114,16.601,60.2
115,22.093,45.3
116,2.801,357.0
117,16.780,59.6
118,17.371,57.6
119,8.237,121.4
120,18.535,54.0
121,6.387,156.6
122,2.059,485.7
123,14.526,68.8
124,12.634,79.2
125,12.439,80.4
126,8.185,122.2
127,1.762,567.4
128,15.257,65.5
129,8.010,124.8
130,1.782,561.1
131,14.289,70.0
132,8.247,121.3
133,17.415,57.4
134,22.979,43.5
135,1.191,839.4
136,17.406,57.5
137,16.699,59.9
138,8.192,122.1
139,2.177,459.4
140,14.654,68.2
141,8.375,119.4
142,16.550,60.4
143,8.142,122.8
144,16.962,59.0
145,7.797,128.3
146,1.590,629.0
147,15.932,62.8
148,7.827,127.8
149,16.914,59.1
150,10.667,93.7
151,14.163,70.6
152,9.557,104.6
153,18.112,55.2
154,5.238,190.9
155,2.194,455.9
156,18.184,55.0
157,4.039,247.6
158,5.451,183.4
159,11.061,90.4
160,13.659,73.2
161,12.504,80.0
162,7.859,127.2
163,17.537,57.0
164,7.100,140.9
165,2.096,477.1
166,15.007,66.6
167,7.540,132.6
168,2.353,424.9
169,15.237,65.6
170,7.809,128.0
171,4.520,221.2
172,12.854,77.8
173,7.473,133.8
174,1.684,593.9
175,15.143,66.0
176,7.853,127.3
177,2.150,465.0
178,14.970,66.8
179,7.563,132.2
180,3.754,266.4
181,12.786,78.2
182,8.141,122.8
183,18.182,55.0
184,16.340,61.2
185,9.818,101.9
186,14.720,67.9
187,8.303,120.4
188,17.429,57.4
189,7.405,135.0
190,1.590,629.0
191,17.281,57.9
192,5.896,169.6
193,2.315,431.9
194,14.855,67.3
195,11.983,83.5
196,13.068,76.5
197,7.654,130.7
198,2.155,464.1
199,15.718,63.6
summary,11.650,85.8
cpu_time,0.229,
peak_rss_kb,45383680,
vertex_count,107980,
