frame,dt_ms,fps
0,47.392,21.1
1,1.722,580.6
2,9.967,100.3
3,8.428,118.7
4,9.175,109.0
5,2.387,419.0
6,13.554,73.8
7,1.784,560.4
8,17.040,58.7
9,15.020,66.6
10,1.883,530.9
11,18.042,55.4
12,12.788,78.2
13,2.004,498.9
14,18.797,53.2
15,12.392,80.7
16,8.342,119.9
17,11.235,89.0
18,13.702,73.0
19,8.306,120.4
20,29.362,34.1
21,4.584,218.2
22,12.915,77.4
23,3.286,304.3
24,38.755,25.8
25,13.746,72.7
26,29.790,33.6
27,5.115,195.5
28,16.868,59.3
29,16.616,60.2
30,8.029,124.6
31,17.224,58.1
32,16.160,61.9
33,8.209,121.8
34,16.779,59.6
35,16.693,59.9
36,12.491,80.1
37,12.486,80.1
38,8.216,121.7
39,16.985,58.9
40,16.527,60.5
41,13.240,75.5
42,11.643,85.9
43,8.258,121.1
44,16.956,59.0
45,16.340,61.2
46,8.888,112.5
47,4.085,244.8
48,12.690,78.8
49,8.089,123.6
50,2.098,476.7
51,14.965,66.8
52,7.967,125.5
53,2.434,410.9
54,14.433,69.3
55,8.522,117.3
56,1.912,523.1
57,14.416,69.4
58,8.312,120.3
59,1.846,541.6
60,15.111,66.2
61,8.045,124.3
62,16.918,59.1
63,7.988,125.2
64,2.404,416.1
65,14.354,69.7
66,8.403,119.0
67,2.446,408.9
68,14.094,71.0
69,8.145,122.8
70,2.108,474.4
71,14.453,69.2
72,8.532,117.2
73,2.338,427.8
74,14.290,70.0
75,8.181,122.2
76,2.483,402.8
77,14.230,70.3
78,11.362,88.0
79,13.696,73.0
80,8.194,122.0
81,2.232,448.1
82,14.711,68.0
83,8.080,123.8
84,2.047,488.5
85,17.562,56.9
86,5.454,183.4
87,2.997,333.7
88,13.667,73.2
89,14.374,69.6
90,10.585,94.5
91,8.209,121.8
92,2.505,399.2
93,14.662,68.2
94,7.796,128.3
95,3.617,276.5
96,13.295,75.2
97,8.282,120.7
98,16.501,60.6
99,8.087,123.7
100,2.410,414.9
101,13.925,71.8
102,8.001,125.0
103,3.248,307.9
104,14.133,70.8
105,7.507,133.2
106,17.570,56.9
107,17.066,58.6
108,10.118,98.8
109,27.865,35.9
110,10.730,93.2
111,13.759,72.7
112,13.952,71.7
113,5.439,183.9
114,23.779,42.1
115,9.562,104.6
116,8.316,120.2
117,12.463,80.2
118,4.119,242.8
119,16.763,59.7
120,12.557,79.6
121,8.253,121.2
122,16.724,59.8
123,20.001,50.0
124,5.147,194.3
125,1.648,606.9
126,15.436,64.8
127,8.047,124.3
128,1.487,672.4
129,15.183,65.9
130,8.253,121.2
131,3.083,324.3
132,13.700,73.0
133,8.165,122.5
134,1.595,626.8
135,15.205,65.8
136,7.950,125.8
137,1.854,539.2
138,15.342,65.2
139,8.316,120.3
140,16.834,59.4
141,8.216,121.7
142,17.130,58.4
143,7.465,133.9
144,17.480,57.2
145,7.124,140.4
146,2.201,454.3
147,15.019,66.6
148,8.528,117.3
149,16.443,60.8
150,7.807,128.1
151,1.956,511.3
152,15.936,62.7
153,7.227,138.4
154,16.926,59.1
155,8.191,122.1
156,16.713,59.8
157,10.018,99.8
158,15.005,66.6
159,7.889,126.8
160,17.442,57.3
161,7.478,133.7
162,19.285,51.9
163,5.401,185.2
164,2.167,461.6
165,14.998,66.7
166,13.653,73.2
167,11.632,86.0
168,7.531,132.8
169,1.825,547.9
170,15.856,63.1
171,7.448,134.3
172,1.638,610.4
173,15.444,64.8
174,7.455,134.1
175,2.858,349.9
176,14.435,69.3
177,8.090,123.6
178,5.403,185.1
179,11.422,87.5
180,7.976,125.4
181,1.806,553.9
182,14.967,66.8
183,8.131,123.0
184,2.468,405.2
185,14.392,69.5
186,7.929,126.1
187,1.939,515.8
188,15.010,66.6
189,8.120,123.1
190,1.732,577.5
191,16.021,62.4
192,7.000,142.9
193,2.188,457.1
194,15.899,62.9
195,7.125,140.3
196,2.467,405.4
197,14.337,69.7
198,15.038,66.5
199,9.135,109.5
summary,10.611,94.2
cpu_time,0.268,
peak_rss_kb,49397760,
vertex_count,301600,
