frame,dt_ms,fps
0,58.085,17.2
1,0.913,1095.7
2,2.774,360.5
3,2.036,491.2
4,14.290,70.0
5,8.930,112.0
6,3.216,310.9
7,16.304,61.3
8,14.003,71.4
9,1.589,629.5
10,18.045,55.4
11,12.822,78.0
12,8.333,120.0
13,11.900,84.0
14,13.108,76.3
15,8.646,115.7
16,2.230,448.4
17,14.384,69.5
18,2.236,447.2
19,14.124,70.8
20,11.688,85.6
21,4.906,203.8
22,16.866,59.3
23,3.017,331.5
24,13.620,73.4
25,8.431,118.6
26,8.248,121.2
27,3.396,294.4
28,16.962,59.0
29,8.598,116.3
30,1.660,602.4
31,10.983,91.1
32,8.257,121.1
33,9.637,103.8
34,7.086,141.1
35,46.796,21.4
36,3.046,328.3
37,39.183,25.5
38,14.063,71.1
39,131.015,7.6
40,2.351,425.4
41,0.600,1666.2
42,0.518,1931.4
43,0.636,1572.6
44,0.537,1863.5
45,1.680,595.3
46,0.780,1282.6
47,0.486,2056.4
48,8.737,114.5
49,7.933,126.1
50,6.411,156.0
51,9.966,100.3
52,8.356,119.7
53,8.384,119.3
54,8.280,120.8
55,16.725,59.8
56,8.244,121.3
57,8.428,118.7
58,5.606,178.4
59,10.991,91.0
60,8.310,120.3
61,16.756,59.7
62,8.194,122.0
63,16.820,59.5
64,6.458,154.8
65,10.047,99.5
66,16.496,60.6
67,8.674,115.3
68,3.326,300.7
69,22.189,45.1
70,7.652,130.7
71,23.578,42.4
72,1.314,760.8
73,16.788,59.6
74,8.229,121.5
75,16.782,59.6
76,16.535,60.5
77,8.259,121.1
78,16.828,59.4
79,16.551,60.4
80,8.468,118.1
81,3.967,252.1
82,12.659,79.0
83,8.209,121.8
84,16.751,59.7
85,8.279,120.8
86,16.671,60.0
87,16.585,60.3
88,16.666,60.0
89,8.216,121.7
90,16.760,59.7
91,16.621,60.2
92,8.319,120.2
93,16.971,58.9
94,16.410,60.9
95,8.455,118.3
96,16.630,60.1
97,21.070,47.5
98,3.885,257.4
99,16.818,59.5
100,16.378,61.1
101,8.310,120.3
102,18.077,55.3
103,15.330,65.2
104,8.243,121.3
105,17.825,56.1
106,16.207,61.7
107,12.418,80.5
108,12.581,79.5
109,8.060,124.1
110,2.212,452.1
111,14.851,67.3
112,7.984,125.2
113,4.943,202.3
114,11.673,85.7
115,8.526,117.3
116,16.638,60.1
117,7.982,125.3
118,7.199,138.9
119,9.025,110.8
120,9.000,111.1
121,1.712,584.2
122,19.627,50.9
123,3.029,330.2
124,17.402,57.5
125,16.565,60.4
126,8.183,122.2
127,1.511,661.7
128,17.859,56.0
129,5.348,187.0
130,2.326,429.9
131,14.604,68.5
132,8.093,123.6
133,5.120,195.3
134,11.568,86.4
135,8.403,119.0
136,1.759,568.4
137,14.844,67.4
138,8.308,120.4
139,7.681,130.2
140,8.380,119.3
141,15.176,65.9
142,9.949,100.5
143,8.848,113.0
144,1.585,630.8
145,15.220,65.7
146,8.111,123.3
147,1.535,651.5
148,15.241,65.6
149,8.024,124.6
150,1.684,593.8
151,15.074,66.3
152,8.344,119.8
153,2.400,416.7
154,14.655,68.2
155,7.920,126.3
156,1.731,577.7
157,15.559,64.3
158,7.759,128.9
159,1.973,506.9
160,18.400,54.3
161,3.845,260.1
162,16.688,59.9
163,17.785,56.2
164,7.905,126.5
165,18.351,54.5
166,6.755,148.0
167,16.926,59.1
168,10.936,91.4
169,14.106,70.9
170,7.762,128.8
171,17.515,57.1
172,7.654,130.6
173,19.866,50.3
174,4.782,209.1
175,2.162,462.6
176,14.914,67.1
177,16.367,61.1
178,7.346,136.1
179,21.626,46.2
180,11.789,84.8
181,8.756,114.2
182,1.557,642.2
183,15.497,64.5
184,8.127,123.0
185,2.148,465.5
186,14.500,69.0
187,8.479,117.9
188,16.835,59.4
189,7.993,125.1
190,17.315,57.8
191,7.767,128.7
192,16.466,60.7
193,8.374,119.4
194,2.397,417.2
195,14.407,69.4
196,17.584,56.9
197,6.448,155.1
198,18.804,53.2
199,14.583,68.6
summary,11.337,88.2
cpu_time,0.209,
peak_rss_kb,45547520,
vertex_count,53990,
