frame,dt_ms,fps
0,49.744,20.1
1,0.798,1253.1
2,11.324,88.3
3,3.320,301.2
4,13.698,73.0
5,2.640,378.7
6,13.828,72.3
7,1.751,571.0
8,14.743,67.8
9,8.915,112.2
10,1.979,505.3
11,16.914,59.1
12,13.684,73.1
13,8.497,117.7
14,11.701,85.5
15,13.810,72.4
16,1.506,663.8
17,19.865,50.3
18,11.302,88.5
19,8.279,120.8
20,11.763,85.0
21,6.209,161.1
22,15.447,64.7
23,10.623,94.1
24,6.017,166.2
25,16.791,59.6
26,16.573,60.3
27,17.304,57.8
28,14.612,68.4
29,1.237,808.4
30,42.345,23.6
31,7.763,128.8
32,27.358,36.6
33,5.924,168.8
34,5.792,172.7
35,6.693,149.4
36,121.528,8.2
37,0.480,2083.2
38,0.459,2179.0
39,0.418,2394.7
40,0.433,2310.8
41,0.598,1673.3
42,0.375,2665.2
43,0.443,2256.1
44,0.476,2102.9
45,8.749,114.3
46,15.485,64.6
47,8.907,112.3
48,5.086,196.6
49,28.138,35.5
50,4.030,248.2
51,15.360,65.1
52,5.607,178.3
53,16.597,60.3
54,14.030,71.3
55,2.602,384.3
56,6.835,146.3
57,9.851,101.5
58,17.512,57.1
59,7.507,133.2
60,21.403,46.7
61,3.536,282.8
62,8.163,122.5
63,8.588,116.4
64,4.078,245.2
65,12.531,79.8
66,8.278,120.8
67,16.765,59.6
68,16.705,59.9
69,8.247,121.3
70,3.381,295.8
71,13.140,76.1
72,8.354,119.7
73,16.758,59.7
74,16.620,60.2
75,8.217,121.7
76,16.881,59.2
77,16.555,60.4
78,8.380,119.3
79,2.916,343.0
80,12.340,81.0
81,9.643,103.7
82,8.281,120.8
83,16.784,59.6
84,16.581,60.3
85,12.276,81.5
86,12.673,78.9
87,8.343,119.9
88,3.356,298.0
89,13.266,75.4
90,8.291,120.6
91,3.402,293.9
92,22.259,44.9
93,7.660,130.6
94,28.268,35.4
95,5.929,168.7
96,7.516,133.0
97,5.101,196.0
98,11.473,87.2
99,8.370,119.5
100,16.716,59.8
101,16.620,60.2
102,8.303,120.4
103,16.594,60.3
104,16.723,59.8
105,8.291,120.6
106,16.724,59.8
107,16.771,59.6
108,11.931,83.8
109,12.931,77.3
110,8.366,119.5
111,3.184,314.1
112,13.375,74.8
113,8.346,119.8
114,35.198,28.4
115,14.879,67.2
116,4.092,244.4
117,2.995,333.9
118,14.544,68.8
119,7.480,133.7
120,3.172,315.3
121,13.480,74.2
122,25.121,39.8
123,8.265,121.0
124,8.617,116.1
125,8.030,124.5
126,3.430,291.5
127,13.002,76.9
128,8.808,113.5
129,4.306,232.3
130,11.931,83.8
131,8.348,119.8
132,2.400,416.7
133,14.283,70.0
134,8.089,123.6
135,24.191,41.3
136,9.285,107.7
137,8.207,121.8
138,16.808,59.5
139,16.543,60.4
140,11.622,86.0
141,13.364,74.8
142,8.213,121.8
143,16.891,59.2
144,16.577,60.3
145,8.228,121.5
146,16.767,59.6
147,16.575,60.3
148,8.324,120.1
149,16.829,59.4
150,18.974,52.7
151,14.802,67.6
152,7.872,127.0
153,3.706,269.8
154,13.141,76.1
155,8.166,122.5
156,2.083,480.2
157,14.931,67.0
158,8.414,118.8
159,1.507,663.6
160,15.166,65.9
161,8.362,119.6
162,16.496,60.6
163,8.193,122.1
164,24.272,41.2
165,8.596,116.3
166,12.405,80.6
167,8.275,120.8
168,16.719,59.8
169,16.818,59.5
170,8.116,123.2
171,17.779,56.2
172,17.066,58.6
173,6.775,147.6
174,19.673,50.8
175,14.739,67.8
176,7.670,130.4
177,1.126,887.7
178,15.763,63.4
179,8.020,124.7
180,1.650,606.0
181,17.019,58.8
182,6.388,156.5
183,1.577,633.9
184,15.090,66.3
185,11.899,84.0
186,13.346,74.9
187,8.159,122.6
188,17.003,58.8
189,7.925,126.2
190,1.677,596.3
191,16.154,61.9
192,6.602,151.5
193,6.344,157.6
194,10.113,98.9
195,8.216,121.7
196,18.063,55.4
197,16.550,60.4
198,7.190,139.1
199,3.076,325.1
summary,11.585,86.3
cpu_time,0.180,
peak_rss_kb,45678592,
vertex_count,26995,,
